account_id,account_district_id,statement_freq,account_date_opened,loan_id,date,amount,duration,payments,status
1,18,MONTHLY,812,,,,,,
2,1,MONTHLY,56,4959.0,940105.0,80952.0,24.0,3373.0,A
3,5,MONTHLY,1648,,,,,,
4,12,MONTHLY,1146,,,,,,
5,15,MONTHLY,1610,,,,,,
6,51,MONTHLY,634,,,,,,
7,60,MONTHLY,1423,,,,,,
8,57,MONTHLY,993,,,,,,
9,70,MONTHLY,26,,,,,,
10,54,MONTHLY,1335,,,,,,
11,76,MONTHLY,1012,,,,,,
12,21,MONTHLY,1565,,,,,,
13,76,MONTHLY,1689,,,,,,
14,47,MONTHLY,1426,,,,,,
15,70,MONTHLY,274,,,,,,
16,12,MONTHLY,1726,,,,,,
17,1,MONTHLY,1468,,,,,,
18,43,WEEKLY,145,,,,,,
19,21,MONTHLY,826,4961.0,960429.0,30276.0,12.0,2523.0,B
20,74,MONTHLY,1331,,,,,,
21,54,MONTHLY,1800,,,,,,
22,1,MONTHLY,446,,,,,,
23,30,MONTHLY,141,,,,,,
24,74,MONTHLY,1434,,,,,,
25,68,MONTHLY,1304,4962.0,971208.0,30276.0,12.0,2523.0,A
26,52,MONTHLY,219,,,,,,
27,73,MONTHLY,268,,,,,,
29,7,MONTHLY,692,,,,,,
30,36,MONTHLY,792,,,,,,
31,68,MONTHLY,481,,,,,,
32,5,MONTHLY,969,,,,,,
33,22,MONTHLY,237,,,,,,
34,67,WEEKLY,259,,,,,,
35,75,MONTHLY,187,,,,,,
36,1,MONTHLY,181,,,,,,
37,20,MONTHLY,1690,4967.0,981014.0,318480.0,60.0,5308.0,D
38,19,WEEKLY,1680,4968.0,980419.0,110736.0,48.0,2307.0,C
39,36,MONTHLY,264,,,,,,
40,64,MONTHLY,297,,,,,,
41,72,MONTHLY,1674,,,,,,
42,39,MONTHLY,1323,,,,,,
43,36,MONTHLY,527,,,,,,
44,32,MONTHLY,129,,,,,,
45,64,MONTHLY,1705,,,,,,
47,45,MONTHLY,219,,,,,,
48,21,MONTHLY,1416,,,,,,
49,1,MONTHLY,1556,,,,,,
50,1,MONTHLY,490,,,,,,
51,67,MONTHLY,1226,,,,,,
52,16,MONTHLY,1489,,,,,,
53,77,MONTHLY,887,,,,,,
54,4,MONTHLY,851,,,,,,
55,20,MONTHLY,1144,,,,,,
56,50,MONTHLY,500,,,,,,
57,1,MONTHLY,870,,,,,,
58,29,MONTHLY,1330,,,,,,
59,43,MONTHLY,450,,,,,,
61,70,MONTHLY,344,,,,,,
62,47,MONTHLY,86,,,,,,
63,22,MONTHLY,1415,,,,,,
64,64,MONTHLY,1530,,,,,,
65,36,MONTHLY,1397,,,,,,
66,48,TRANSACTION,336,,,,,,
67,16,MONTHLY,656,4973.0,960502.0,165960.0,24.0,6915.0,A
68,37,TRANSACTION,718,,,,,,
69,64,MONTHLY,1106,,,,,,
70,8,MONTHLY,778,,,,,,
71,1,MONTHLY,428,,,,,,
72,1,WEEKLY,1266,,,,,,
73,72,MONTHLY,311,,,,,,
75,1,MONTHLY,954,,,,,,
76,52,MONTHLY,1231,,,,,,
77,63,MONTHLY,1418,,,,,,
78,74,MONTHLY,187,,,,,,
79,3,MONTHLY,1428,,,,,,
80,43,MONTHLY,999,,,,,,
81,74,MONTHLY,1294,,,,,,
82,26,MONTHLY,487,,,,,,
83,26,MONTHLY,105,,,,,,
84,44,TRANSACTION,1088,,,,,,
85,68,MONTHLY,1542,,,,,,
86,54,MONTHLY,65,,,,,,
88,31,MONTHLY,1279,,,,,,
89,68,MONTHLY,1728,,,,,,
90,1,MONTHLY,558,,,,,,
91,17,MONTHLY,1405,,,,,,
93,2,MONTHLY,1258,,,,,,
95,1,MONTHLY,818,,,,,,
96,68,MONTHLY,48,,,,,,
97,74,MONTHLY,1220,4986.0,970810.0,102876.0,12.0,8573.0,A
98,55,MONTHLY,1582,,,,,,
99,1,MONTHLY,907,,,,,,
100,41,MONTHLY,361,,,,,,
101,35,MONTHLY,1201,,,,,,
102,11,MONTHLY,288,,,,,,
103,44,MONTHLY,1164,4988.0,971206.0,265320.0,36.0,7370.0,D
104,37,MONTHLY,104,,,,,,
105,21,MONTHLY,1651,4989.0,981205.0,352704.0,48.0,7348.0,C
106,63,MONTHLY,695,,,,,,
107,64,MONTHLY,308,,,,,,
108,53,MONTHLY,798,,,,,,
109,53,MONTHLY,1570,,,,,,
110,36,MONTHLY,1293,4990.0,970908.0,162576.0,36.0,4516.0,C
112,6,MONTHLY,70,,,,,,
113,55,MONTHLY,1298,,,,,,
114,60,MONTHLY,1533,,,,,,
115,68,MONTHLY,77,,,,,,
116,8,MONTHLY,1175,,,,,,
117,31,MONTHLY,247,,,,,,
118,68,MONTHLY,1721,,,,,,
119,27,MONTHLY,144,,,,,,
120,65,WEEKLY,896,,,,,,
121,55,MONTHLY,1744,,,,,,
122,31,MONTHLY,1398,,,,,,
123,21,MONTHLY,71,,,,,,
124,55,MONTHLY,1822,,,,,,
125,2,TRANSACTION,1345,,,,,,
126,5,MONTHLY,295,,,,,,
127,29,MONTHLY,397,,,,,,
128,2,MONTHLY,49,,,,,,
129,74,MONTHLY,1734,,,,,,
130,54,MONTHLY,1503,,,,,,
131,52,MONTHLY,893,,,,,,
132,40,TRANSACTION,1226,4996.0,961106.0,88440.0,12.0,7370.0,A
133,64,WEEKLY,1744,,,,,,
134,34,MONTHLY,1804,,,,,,
135,75,MONTHLY,165,,,,,,
136,74,MONTHLY,1229,,,,,,
137,70,MONTHLY,1295,,,,,,
138,22,MONTHLY,991,,,,,,
139,38,WEEKLY,1595,,,,,,
140,24,MONTHLY,1271,,,,,,
141,38,MONTHLY,1160,,,,,,
142,51,MONTHLY,45,,,,,,
